MODEL COMPARISON SUMMARY
============================================================

Model                      | Mode       | Accuracy (%) | Excluded/Total  | Word Count     
----------------------------------------------------------------------
llavaonevision_0.5B        | 0-shot     | 6.94         | 0/1038          | 4.57      
llavaonevision_7B          | 0-shot     | 2.89         | 0/1038          | 4.57      
MedVLM-R1                  | 0-shot     | 2.89         | 0/1038          | 4.57      
llavamed_7B                | 0-shot     | 0.00         | 0/1038          | 4.57      
llama33textonly (baseline) | 0-shot     | 0.00         | 0/1038          | 4.57      
llava_7B                   | 0-shot     | 0.00         | 0/1038          | 4.57      
llavanext_7B               | 0-shot     | 0.00         | 0/1038          | 4.57      
llava_13B                  | 0-shot     | 0.00         | 0/1038          | 4.57      
medgemma_4b                | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen3B                     | 0-shot     | 0.00         | 0/1038          | 4.57      
llama32_vision_90b         | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen7B                     | 0-shot     | 0.00         | 0/1038          | 4.57      
gpt-4o                     | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen32B                    | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen72B                    | 0-shot     | 0.00         | 0/1038          | 4.57      
----------------------------------------------------------------------
qwen7B                     | ICL        | 35.36        | 0/1038          | 4.57      
qwen3B                     | ICL        | 28.03        | 0/1038          | 4.57      
llama32_vision_90b         | ICL        | 27.46        | 0/1038          | 4.57      
llavaonevision_7B          | ICL        | 25.72        | 0/1038          | 4.57      
random (baseline)          | ICL        | 25.34        | 0/1038          | 4.57      
qwen32B                    | ICL        | 25.24        | 0/1038          | 4.57      
qwen72B                    | ICL        | 24.37        | 0/1038          | 4.57      
MedVLM-R1                  | ICL        | 24.28        | 0/1038          | 4.57      
llava_13B                  | ICL        | 21.10        | 0/1038          | 4.57      
llava_7B                   | ICL        | 20.52        | 0/1038          | 4.57      
majority (baseline)        | ICL        | 17.53        | 0/1038          | 4.57      
llavaonevision_0.5B        | ICL        | 14.26        | 0/1038          | 4.57      
medgemma_4b                | ICL        | 13.29        | 0/1038          | 4.57      
gpt-4o                     | ICL        | 7.80         | 0/1038          | 4.57      
llama33textonly (baseline) | ICL        | 3.56         | 0/1038          | 4.57      
llavanext_7B               | ICL        | 3.56         | 0/1038          | 4.57      
llavamed_7B                | ICL        | 0.19         | 0/1038          | 4.57      


PER-PROBLEM ACCURACY COMPARISON (%) - 0-shot
------------------------------------------------------------
Problem ID   | llavamed_7B  | llama33textonly (baseline) | llava_7B     | llavanext_7B | llava_13B    | llavaonevision_0.5B | llavaonevision_7B | MedVLM-R1    | medgemma_4b  | qwen3B       | llama32_vision_90b | qwen7B       | gpt-4o       | qwen32B      | qwen72B     
b43555d3-9ef4-4280-bdec-902f634ec75a_perm_23 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b43555d3-9ef4-4280-bdec-902f634ec75a_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b43555d3-9ef4-4280-bdec-902f634ec75a_perm_3 | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b43555d3-9ef4-4280-bdec-902f634ec75a_perm_4 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b43555d3-9ef4-4280-bdec-902f634ec75a_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b43555d3-9ef4-4280-bdec-902f634ec75a_perm_6 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b43555d3-9ef4-4280-bdec-902f634ec75a_perm_7 | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b43555d3-9ef4-4280-bdec-902f634ec75a_perm_8 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b43555d3-9ef4-4280-bdec-902f634ec75a_perm_9 | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_10 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_11 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_12 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_13 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_14 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_15 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_16 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_19 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_21 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_22 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b5ea0db1-ac0b-4ac9-bf19-34b7ef15904d_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
b60bb3ca-680f-4d0d-b616-456e6a84908c_perm_1 | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 100.00
b60bb3ca-680f-4d0d-b616-456e6a84908c_perm_2 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
b78610bc-b395-4d39-b92a-a86f8d6c7dc8_perm_1 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
b78610bc-b395-4d39-b92a-a86f8d6c7dc8_perm_2 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
b78610bc-b395-4d39-b92a-a86f8d6c7dc8_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
b78610bc-b395-4d39-b92a-a86f8d6c7dc8_perm_4 | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
b78610bc-b395-4d39-b92a-a86f8d6c7dc8_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
b78610bc-b395-4d39-b92a-a86f8d6c7dc8_perm_6 | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_10 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_11 | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_12 | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_13 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_14 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_15 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_16 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_19 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_2 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_21 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_22 | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_5 | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_6 | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_7 | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_8 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 100.00
b82002ea-ec05-4c5c-95a8-3b646f020ed7_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
ba18e483-86ae-4f00-9b03-dc1d5d1d6cef_perm_1 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
ba18e483-86ae-4f00-9b03-dc1d5d1d6cef_perm_2 | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
bda6b1c5-2522-418c-94f5-124c3018015d_perm_1 | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
bda6b1c5-2522-418c-94f5-124c3018015d_perm_2 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
be56d9fd-423c-43fe-b5d9-1b9fe46c1808_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
be56d9fd-423c-43fe-b5d9-1b9fe46c1808_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
c0a57b05-eee7-499a-8745-a2f637cde131_perm_1 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
c0a57b05-eee7-499a-8745-a2f637cde131_perm_2 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
c7db3e52-cadc-4110-acaf-df1d77417653_perm_1 | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
c7db3e52-cadc-4110-acaf-df1d77417653_perm_2 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_10 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_11 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_12 | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_13 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_14 | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_15 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_16 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_18 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_19 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_21 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_22 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_23 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 100.00       | 100.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
